column0,column1,column2,column3,column4
79,32,-97,36,-50
6,49,53,58,-73
-71,27,-27,19,-31
-2,18,61,-70,-4
-46,35,-27,1,59
43,20,-70,79,-21
31,-64,-10,-76,-75
-17,-36,29,49,-21
59,82,49,38,69
29,17,-35,60,38
-15,27,-19,17,-58
89,45,34,8,92
-96,-85,37,40,50
-62,81,54,91,84
85,36,13,-9,74
-14,18,-46,-95,74
-40,42,-98,-27,64
33,-25,-15,39,-5
1,21,96,-17,87
-33,31,14,-49,-60
37,-44,58,-82,64
91,29,-42,-22,-90
42,29,36,-84,52
48,-74,-27,34,98
-70,47,58,-50,55
-17,85,-42,30,-58
70,23,-63,-1,10
-47,68,70,-72,-59
55,25,-13,-49,97
90,10,-32,-17,-69
-16,49,53,-57,-25
82,38,61,13,-41
64,45,30,71,-48
21,45,-23,-60,-95
72,-65,-3,-90,93
96,24,4,64,-12
57,11,12,-52,91
15,-79,83,32,-60
-77,23,98,72,67
100,42,-46,-44,-92
50,15,-47,-52,65
2,95,-41,12,43
-7,15,-77,-34,37
-7,84,45,39,75
71,17,-17,-7,-89
89,48,-65,-24,69
-37,92,86,-78,-89
-43,30,9,31,-80
-49,85,32,-67,-25
-56,27,-21,23,-100
36,10,-19,21,-34
88,35,-73,83,69
8,31,-22,-95,93
71,48,31,62,19
24,6,-56,99,-22
53,22,-42,-71,-62
-63,19,-31,-27,-85
-61,5,-79,36,-78
79,44,-76,94,-58
41,40,59,-7,8
-23,48,-77,52,92
96,46,63,-9,-14
16,21,15,-52,-71
21,11,-87,16,62
85,-4,79,-48,5
100,82,71,39,-5
-94,44,44,-81,-39
41,29,36,-45,77
-38,27,-7,19,77
-93,15,25,54,-81
21,52,-69,37,7
8,18,83,-10,-53
58,29,-61,63,56
-11,38,-57,-74,-26
-86,-58,-80,34,17
-8,17,-86,-24,-50
55,-7,-48,-4,32
-45,35,36,0,-71
-82,18,-54,-25,-4
97,42,28,60,72
-41,89,-93,92,-91
27,26,-83,4,-18
12,-25,30,30,-14
-70,40,-31,80,-12
-85,39,27,-39,-99
73,-88,-18,-48,-49
-13,-33,56,-55,2
13,14,-18,91,16
-28,88,27,-45,76
-98,41,26,23,-97
-43,-97,16,38,84
84,-15,-56,54,-44
43,27,-78,43,12
-53,27,-52,-54,90
96,35,31,4,-20
93,44,-90,58,7
20,10,-26,-12,25
-83,37,92,49,-79
-99,-14,-27,70,-92
91,56,-66,35,-51
79,-11,61,0,-69
-37,29,-95,44,32
0,47,92,-4,-98
15,20,82,-19,-79
81,48,16,95,-83
-76,43,12,6,-77
-4,27,70,-59,-40
96,-5,-34,-27,14
15,48,-3,-10,-85
-57,42,-76,1,89
